day,population,births,deaths,avg_sentiment,avg_hunger,avg_health,total_food,food_per_capita,gini,avg_wellbeing,marriages,trades,trade_items,work_parties
311,151,0,0,48.68,0.637,90.2,5397.9,35.75,0.297,0.425,0,227,11059.0,0
312,151,0,0,48.66,0.637,90.1,5380.1,35.63,0.297,0.426,0,209,10842.6,0
313,151,0,0,48.64,0.635,90.2,5301.6,35.11,0.285,0.425,0,218,9895.0,0
314,151,0,0,48.63,0.646,90.6,5043.5,33.40,0.297,0.427,0,210,10974.1,0
315,151,0,0,48.64,0.641,90.8,4929.8,32.65,0.327,0.427,0,211,9901.4,0
316,151,0,0,48.64,0.646,91.0,4608.1,30.52,0.286,0.427,0,250,12234.3,0
317,151,0,0,48.63,0.645,91.2,4835.7,32.02,0.274,0.427,0,245,11657.7,0
318,151,0,0,48.62,0.650,91.4,4513.2,29.89,0.298,0.428,0,238,11317.1,0
319,152,1,0,48.65,0.650,91.6,4582.1,30.15,0.289,0.431,1,216,10563.2,0
320,152,0,0,48.65,0.645,91.5,4663.7,30.68,0.274,0.429,0,232,12056.5,0
321,153,1,0,48.66,0.641,91.7,5122.6,33.48,0.288,0.430,0,214,10074.0,0
322,153,0,0,48.67,0.641,91.9,5244.6,34.28,0.297,0.429,0,222,10925.0,0
323,153,0,0,48.67,0.641,92.2,5296.3,34.62,0.297,0.427,0,219,10648.7,0
324,153,0,0,48.68,0.639,92.3,5315.3,34.74,0.281,0.427,0,194,10086.9,0
325,153,0,0,48.69,0.639,92.3,4950.3,32.36,0.311,0.427,0,231,12298.0,0
326,153,0,0,48.69,0.643,92.2,5076.4,33.18,0.286,0.428,0,216,11205.7,0
327,153,0,0,48.69,0.643,92.3,4985.1,32.58,0.281,0.428,0,239,10858.3,0
328,153,0,0,48.70,0.637,92.2,4775.3,31.21,0.282,0.426,0,241,11968.5,0
329,153,0,0,48.71,0.639,92.3,4514.1,29.50,0.287,0.427,0,209,9983.3,0
330,153,0,0,48.69,0.648,92.2,4892.4,31.98,0.297,0.425,0,206,9543.5,0
331,153,0,0,48.69,0.641,92.4,4894.8,31.99,0.295,0.423,0,217,10923.0,0
332,154,1,0,48.61,0.648,92.2,5178.2,33.62,0.266,0.424,0,206,10606.6,0
333,154,0,0,48.59,0.636,92.7,5197.4,33.75,0.282,0.424,0,216,10203.6,0
334,154,0,0,48.58,0.645,92.7,5187.7,33.69,0.303,0.423,0,228,11112.5,0
335,154,0,0,48.56,0.644,93.2,4548.3,29.53,0.302,0.424,0,225,10518.3,0
336,154,0,0,48.55,0.634,93.3,4704.7,30.55,0.302,0.420,0,195,9646.4,0
337,155,1,0,48.58,0.645,93.7,4697.4,30.31,0.290,0.427,0,220,9872.3,0
338,155,0,0,48.58,0.646,94.1,4465.6,28.81,0.283,0.423,0,223,10833.3,0
339,155,0,0,48.57,0.650,94.0,3990.6,25.75,0.283,0.419,0,218,9229.9,0
340,155,0,0,48.56,0.636,94.4,4300.6,27.75,0.289,0.420,0,230,10645.2,0
341,155,0,0,48.54,0.641,94.5,4494.2,29.00,0.275,0.420,0,226,11387.1,0
342,155,0,0,48.54,0.641,94.5,4932.6,31.82,0.281,0.418,0,236,11044.8,0
343,155,0,0,48.52,0.644,94.5,5121.8,33.04,0.285,0.419,0,215,10478.3,0
344,155,0,0,48.50,0.641,94.9,4947.7,31.92,0.297,0.421,0,193,8744.2,0
345,155,0,0,48.50,0.644,95.0,4552.8,29.37,0.322,0.423,0,197,8703.2,0
346,155,0,0,48.50,0.639,95.2,4334.2,27.96,0.268,0.422,0,229,10852.9,0
347,155,0,0,48.50,0.639,95.0,4609.0,29.74,0.280,0.418,0,217,10226.6,0
348,155,0,0,48.51,0.635,94.9,4388.2,28.31,0.266,0.411,0,219,10659.0,0
349,156,1,0,48.44,0.637,95.2,3951.2,25.33,0.274,0.418,0,210,10599.6,0
350,156,0,0,48.44,0.637,95.4,3943.7,25.28,0.256,0.420,0,211,9599.4,0
351,156,0,0,48.45,0.644,95.7,3743.6,24.00,0.268,0.423,0,243,10509.3,0
352,156,0,0,48.44,0.640,95.5,4155.2,26.64,0.297,0.420,0,220,9719.3,0
353,156,0,0,48.44,0.644,94.9,4505.3,28.88,0.270,0.413,0,207,10331.5,0
354,156,0,0,48.45,0.644,95.2,4367.8,28.00,0.274,0.414,0,227,11333.4,0
355,156,0,0,48.45,0.648,95.4,4386.0,28.12,0.285,0.413,0,215,11067.6,0
356,156,0,0,48.46,0.634,95.1,4210.7,26.99,0.275,0.411,0,240,11774.9,0
357,156,0,0,48.47,0.648,95.5,4355.7,27.92,0.290,0.410,0,222,10503.5,0
358,156,0,0,48.47,0.648,95.5,4151.2,26.61,0.306,0.411,0,225,11388.1,0
359,156,0,0,48.47,0.634,95.9,3856.6,24.72,0.266,0.413,0,223,10161.0,0
360,157,1,0,48.59,0.635,95.8,4104.7,26.14,0.239,0.413,0,254,12834.8,0
